Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
32,Karyawan Beratahan,Travel_Rarely,427,Research & Development,1,Bachelor,Medical,Low,Male,33,High,Advanced,Manufacturing Director,Very High,Married,6162,10877,1,Yes,22,Very High,Medium,Low,9,3,Excellent,9,8,7,8
28,Karyawan Beratahan,Non-Travel,120,Sales,4,Bachelor,Medical,Medium,Male,43,High,Advanced,Sales Executive,High,Married,4221,8863,1,No,15,High,Medium,Very High,5,3,Outstanding,5,4,0,4
31,Karyawan Keluar,Travel_Rarely,249,Sales,6,Master,Life Sciences,Medium,Male,76,Low,Advanced,Sales Executive,High,Married,6172,20739,4,Yes,18,High,Medium,Very High,12,3,Good,7,7,7,7
50,Karyawan Beratahan,Travel_Rarely,316,Sales,8,Master,Marketing,Very High,Male,54,High,Basic,Sales Representative,Medium,Married,3875,9983,7,No,15,High,Very High,Low,4,2,Excellent,2,2,2,2
39,Karyawan Beratahan,Travel_Rarely,1132,Research & Development,1,Bachelor,Medical,High,Male,48,Very High,Intermediate ,Healthcare Representative,Very High,Divorced,9613,10942,0,No,17,High,Low,High,19,5,Good,18,10,3,7
35,Karyawan Beratahan,Travel_Rarely,809,Research & Development,16,Bachelor,Medical,Low,Male,84,Very High,Basic,Laboratory Technician,Medium,Married,2426,16479,0,No,13,High,High,Low,6,5,Excellent,5,4,0,3
32,Karyawan Beratahan,Travel_Frequently,379,Sales,5,College,Life Sciences,Medium,Male,48,High,Advanced,Sales Executive,Medium,Married,6524,8891,1,No,14,High,Very High,Low,10,3,Excellent,10,8,5,3
26,Karyawan Keluar,Travel_Rarely,1330,Research & Development,21,Bachelor,Medical,Low,Male,37,High,Basic,Laboratory Technician,High,Divorced,2377,19373,1,No,20,Very High,High,Low,1,0,Good,1,1,0,0
30,Karyawan Beratahan,Travel_Rarely,288,Research & Development,2,Bachelor,Life Sciences,High,Male,99,Medium,Advanced,Healthcare Representative,Very High,Married,4152,15830,1,No,19,High,Low,High,11,3,Excellent,11,10,10,8
38,Karyawan Beratahan,Travel_Frequently,216,Research & Development,23,Bachelor,Life Sciences,Very High,Male,44,Medium,Intermediate ,Manufacturing Director,High,Single,9526,8787,0,No,21,Very High,Medium,Very High,10,2,Excellent,9,7,1,8
21,Karyawan Beratahan,Travel_Rarely,1343,Sales,22,Below College,Technical Degree,High,Male,49,High,Basic,Sales Representative,High,Single,3447,24444,1,No,11,High,High,Very High,3,2,Excellent,3,2,1,2
35,Karyawan Beratahan,Travel_Rarely,950,Research & Development,7,Bachelor,Other,High,Male,59,High,Intermediate ,Manufacturing Director,High,Single,10221,18869,3,No,21,Very High,Medium,Very High,17,3,Outstanding,8,5,1,6
26,Karyawan Beratahan,Travel_Frequently,1479,Research & Development,1,Bachelor,Life Sciences,High,Female,84,High,Advanced,Manufacturing Director,Medium,Divorced,6397,26767,1,No,20,Very High,Low,Low,6,6,Low,6,5,1,4
31,Karyawan Keluar,Travel_Frequently,523,Research & Development,2,Bachelor,Life Sciences,Medium,Male,94,High,Basic,Laboratory Technician,Very High,Married,3722,21081,6,Yes,13,High,High,Low,7,2,Low,2,2,2,2
32,Karyawan Beratahan,Travel_Rarely,1062,Research & Development,2,Bachelor,Medical,High,Female,75,High,Basic,Laboratory Technician,Medium,Married,2370,3956,1,No,13,High,High,Low,8,4,Excellent,8,0,0,7
32,Karyawan Beratahan,Travel_Rarely,929,Sales,10,Bachelor,Marketing,Very High,Male,55,High,Advanced,Sales Executive,Very High,Single,5396,21703,1,No,12,High,Very High,Very High,10,2,Good,10,7,0,8
34,Karyawan Beratahan,Travel_Rarely,1303,Research & Development,2,Master,Life Sciences,Very High,Male,62,Medium,Basic,Research Scientist,High,Divorced,2768,8416,3,No,12,High,High,Low,14,3,Excellent,7,3,5,7
33,Karyawan Beratahan,Travel_Frequently,553,Research & Development,5,Master,Life Sciences,Very High,Female,74,High,Intermediate ,Manager,Medium,Married,11878,23364,6,No,11,High,Medium,Medium,12,2,Excellent,10,6,8,8
47,Karyawan Beratahan,Travel_Rarely,983,Research & Development,2,College,Medical,Low,Female,65,High,Advanced,Manufacturing Director,Very High,Divorced,5070,7389,5,No,13,High,High,High,20,2,Excellent,5,0,0,4
30,Karyawan Beratahan,Travel_Rarely,921,Research & Development,1,Bachelor,Life Sciences,Very High,Male,38,Low,Basic,Laboratory Technician,High,Married,3833,24375,3,No,21,Very High,High,Medium,7,2,Excellent,2,2,0,2
58,Karyawan Beratahan,Travel_Rarely,1145,Research & Development,9,Bachelor,Medical,Medium,Female,75,Medium,Basic,Research Scientist,Medium,Married,3346,11873,4,Yes,20,Very High,Medium,Low,9,3,Good,1,0,0,0
37,Karyawan Keluar,Travel_Rarely,625,Sales,1,Master,Life Sciences,Low,Male,46,Medium,Intermediate ,Sales Executive,High,Married,10609,14922,5,No,11,High,High,Very High,17,2,Low,14,1,11,7
38,Karyawan Beratahan,Travel_Rarely,1380,Research & Development,9,College,Life Sciences,High,Female,75,High,Basic,Laboratory Technician,Very High,Single,2288,6319,1,No,12,High,High,Very High,2,3,Excellent,2,2,2,1
43,Karyawan Keluar,Travel_Rarely,1372,Sales,9,Bachelor,Marketing,Low,Female,85,Low,Advanced,Sales Executive,High,Single,5346,9489,8,No,13,High,Medium,Very High,7,2,Good,4,3,1,3
52,Karyawan Beratahan,Travel_Frequently,322,Research & Development,28,College,Medical,Very High,Female,59,Very High,Advanced,Manufacturing Director,High,Married,13247,9731,2,Yes,11,High,Medium,Low,24,3,Good,5,3,0,2
44,Karyawan Beratahan,Travel_Rarely,1488,Sales,1,Doctor,Marketing,Medium,Female,75,High,Advanced,Sales Executive,Low,Divorced,5454,4009,5,Yes,21,Very High,High,Low,9,2,Good,4,3,1,3
59,Karyawan Beratahan,Travel_Rarely,142,Research & Development,3,Bachelor,Life Sciences,High,Male,70,Medium,Basic,Research Scientist,Very High,Married,2177,8456,3,No,17,High,Low,Low,7,6,Excellent,1,0,0,0
42,Karyawan Beratahan,Non-Travel,926,Research & Development,21,College,Medical,High,Female,36,High,Advanced,Manufacturing Director,High,Divorced,5265,16439,2,No,16,High,Medium,Low,11,5,Excellent,5,3,0,2
45,Karyawan Beratahan,Travel_Rarely,561,Sales,2,Bachelor,Other,Very High,Male,61,High,Advanced,Sales Executive,Medium,Married,4805,16177,0,No,19,High,Medium,Low,9,3,Outstanding,8,7,3,7
21,Karyawan Keluar,Travel_Rarely,1427,Research & Development,18,Below College,Other,Very High,Female,65,High,Basic,Research Scientist,Very High,Single,2693,8870,1,No,19,High,Low,Very High,1,3,Good,1,0,0,0
23,Karyawan Beratahan,Travel_Rarely,885,Research & Development,4,Bachelor,Medical,Low,Male,58,Very High,Basic,Research Scientist,Low,Married,2819,8544,2,No,16,High,Low,Low,5,3,Outstanding,3,2,0,2
54,Karyawan Beratahan,Travel_Rarely,1147,Sales,3,Bachelor,Marketing,Very High,Female,52,High,Advanced,Sales Executive,Low,Married,5940,17011,2,No,14,High,Very High,Low,16,4,Excellent,6,2,0,5
41,Karyawan Beratahan,Travel_Rarely,509,Research & Development,7,College,Technical Degree,Medium,Female,43,Very High,Basic,Research Scientist,High,Married,3376,18863,1,No,13,High,High,Very High,10,3,Excellent,10,6,0,8
45,Karyawan Beratahan,Travel_Rarely,1038,Research & Development,20,Bachelor,Medical,Medium,Male,95,Low,Intermediate ,Healthcare Representative,Low,Divorced,10851,19863,2,Yes,18,High,Medium,Low,24,2,Excellent,7,7,0,7
45,Karyawan Beratahan,Non-Travel,1052,Sales,6,Bachelor,Medical,Very High,Female,57,Medium,Intermediate ,Sales Executive,Very High,Single,8865,16840,6,No,12,High,Very High,Very High,23,2,Excellent,19,7,12,8
55,Karyawan Beratahan,Travel_Rarely,111,Sales,1,College,Life Sciences,Low,Male,70,High,Intermediate ,Sales Executive,Very High,Married,10239,18092,3,No,14,High,Very High,Low,24,4,Excellent,1,0,1,0
34,Karyawan Beratahan,Travel_Frequently,1069,Research & Development,2,Below College,Life Sciences,Very High,Male,45,Medium,Advanced,Manufacturing Director,High,Married,9547,14074,1,No,17,High,High,Very High,10,2,Good,10,9,1,9
57,Karyawan Beratahan,Travel_Rarely,405,Research & Development,1,College,Life Sciences,Medium,Male,93,Very High,Advanced,Research Scientist,High,Married,4900,2721,0,No,24,Very High,Low,Low,13,2,Good,12,9,2,8
33,Karyawan Beratahan,Travel_Rarely,147,Research & Development,4,Master,Medical,High,Female,47,Medium,Basic,Research Scientist,Medium,Married,2622,13248,6,No,21,Very High,Very High,Very High,7,3,Excellent,3,2,1,1
32,Karyawan Beratahan,Non-Travel,300,Research & Development,1,Bachelor,Life Sciences,Very High,Male,61,High,Basic,Laboratory Technician,Very High,Divorced,2314,9148,0,No,12,High,Medium,Low,4,2,Excellent,3,0,0,2
21,Karyawan Keluar,Travel_Frequently,251,Research & Development,10,College,Life Sciences,Low,Female,45,Medium,Basic,Laboratory Technician,High,Single,2625,25308,1,No,20,Very High,High,Very High,2,2,Low,2,2,2,2
34,Karyawan Keluar,Travel_Frequently,296,Sales,6,College,Marketing,Very High,Female,33,Low,Basic,Sales Representative,High,Divorced,2351,12253,0,No,16,High,Very High,Low,3,3,Good,2,2,1,0
27,Karyawan Beratahan,Travel_Frequently,1242,Sales,20,Bachelor,Life Sciences,Very High,Female,90,High,Advanced,Sales Executive,High,Single,9981,12916,1,No,14,High,Very High,Very High,7,2,Excellent,7,7,0,7
36,Karyawan Beratahan,Travel_Rarely,917,Research & Development,6,Master,Life Sciences,High,Male,60,Low,Basic,Laboratory Technician,High,Divorced,2741,6865,1,No,14,High,High,Low,7,4,Excellent,7,7,1,7
41,Karyawan Keluar,Travel_Rarely,1360,Research & Development,12,Bachelor,Technical Degree,Medium,Female,49,High,Advanced,Research Director,High,Married,19545,16280,1,No,12,High,Very High,Very High,23,0,Excellent,22,15,15,8
33,Karyawan Beratahan,Travel_Frequently,1296,Research & Development,6,Bachelor,Life Sciences,High,Male,30,High,Advanced,Healthcare Representative,Very High,Divorced,7725,5335,3,No,23,Very High,High,Low,15,2,Low,13,11,4,7
18,Karyawan Keluar,Non-Travel,247,Research & Development,8,Below College,Medical,High,Male,80,High,Basic,Laboratory Technician,High,Single,1904,13556,1,No,12,High,Very High,Very High,0,0,Excellent,0,0,0,0
27,Karyawan Beratahan,Travel_Rarely,894,Research & Development,9,Bachelor,Medical,Very High,Female,99,High,Basic,Research Scientist,Medium,Single,2279,11781,1,No,16,High,Very High,Very High,7,2,Good,7,7,0,3
22,Karyawan Beratahan,Travel_Rarely,1230,Research & Development,1,College,Life Sciences,Very High,Male,33,Medium,Advanced,Manufacturing Director,Very High,Married,4775,19146,6,No,22,Very High,Low,Medium,4,2,Low,2,2,2,2
33,Karyawan Keluar,Travel_Rarely,813,Research & Development,14,Bachelor,Medical,High,Male,58,High,Basic,Laboratory Technician,Very High,Married,2436,22149,5,Yes,13,High,High,Low,8,2,Low,5,4,0,4
42,Karyawan Beratahan,Travel_Frequently,1368,Research & Development,28,Master,Technical Degree,Very High,Female,88,Medium,Advanced,Healthcare Representative,Very High,Married,4523,4386,0,No,11,High,Very High,High,7,4,Outstanding,6,5,0,4
29,Karyawan Beratahan,Travel_Frequently,806,Research & Development,1,Master,Life Sciences,Medium,Male,76,Low,Basic,Research Scientist,Very High,Divorced,2720,18959,1,No,18,High,Very High,Low,10,5,Excellent,10,7,2,8
35,Karyawan Beratahan,Travel_Rarely,817,Research & Development,1,Bachelor,Medical,Very High,Female,60,Medium,Advanced,Laboratory Technician,Very High,Married,5363,10846,0,No,12,High,Medium,Low,10,0,Excellent,9,7,0,0
37,Karyawan Beratahan,Non-Travel,142,Sales,9,Master,Medical,Low,Male,69,High,Intermediate ,Sales Executive,Medium,Divorced,8834,24666,1,No,13,High,Very High,Low,9,6,Excellent,9,5,7,7
52,Karyawan Keluar,Travel_Rarely,266,Sales,2,Below College,Marketing,Low,Female,57,Low,Advanced,Manager,Very High,Married,19845,25846,1,No,15,High,Very High,Low,33,3,Excellent,32,14,6,9
31,Karyawan Beratahan,Travel_Rarely,218,Sales,7,Bachelor,Technical Degree,Medium,Male,100,Very High,Advanced,Sales Executive,Very High,Married,6929,12241,4,No,11,High,Medium,Low,10,3,Good,8,7,7,7
29,Karyawan Beratahan,Travel_Rarely,1396,Sales,10,Bachelor,Life Sciences,High,Male,99,High,Basic,Sales Representative,High,Single,2642,2755,1,No,11,High,High,Very High,1,6,Excellent,1,0,0,0
32,Karyawan Keluar,Non-Travel,1474,Sales,11,Master,Other,Very High,Male,60,Very High,Advanced,Sales Executive,High,Married,4707,23914,8,No,12,High,Very High,Very High,6,2,Excellent,4,2,1,2
35,Karyawan Beratahan,Non-Travel,1097,Research & Development,11,College,Medical,High,Male,79,Medium,Intermediate ,Healthcare Representative,Low,Married,9884,8302,2,Yes,13,High,High,Low,10,3,Excellent,4,0,2,3
43,Karyawan Beratahan,Travel_Rarely,920,Research & Development,3,Bachelor,Life Sciences,High,Male,96,Low,Advanced,Research Director,Very High,Married,19740,18625,3,No,14,High,Medium,Low,25,2,Excellent,8,7,0,7
33,Karyawan Beratahan,Travel_Rarely,134,Research & Development,2,Bachelor,Life Sciences,High,Male,90,High,Basic,Research Scientist,Very High,Single,2500,10515,0,No,14,High,Low,Very High,4,2,Outstanding,3,1,0,2
37,Karyawan Beratahan,Travel_Rarely,309,Sales,10,Master,Life Sciences,Very High,Female,88,Medium,Advanced,Sales Executive,Very High,Divorced,6694,24223,2,Yes,14,High,High,High,8,5,Excellent,1,0,0,0
27,Karyawan Keluar,Travel_Rarely,135,Research & Development,17,Master,Life Sciences,Very High,Female,51,High,Basic,Research Scientist,High,Single,2394,25681,1,Yes,13,High,Very High,Very High,8,2,Excellent,8,2,7,7
28,Karyawan Beratahan,Travel_Rarely,1451,Research & Development,2,Below College,Life Sciences,Low,Male,67,Medium,Basic,Research Scientist,Medium,Married,3201,19911,0,No,17,High,Low,Very High,6,2,Low,5,3,0,4
27,Karyawan Beratahan,Travel_Frequently,294,Research & Development,10,College,Life Sciences,Very High,Male,32,High,Intermediate ,Manufacturing Director,Low,Divorced,8793,4809,1,No,21,Very High,High,Medium,9,4,Good,9,7,1,7
37,Karyawan Beratahan,Travel_Rarely,342,Sales,16,Master,Marketing,Very High,Male,66,Medium,Advanced,Sales Executive,High,Divorced,6334,24558,4,No,19,High,Very High,Medium,9,2,Excellent,1,0,0,0
27,Karyawan Beratahan,Travel_Rarely,199,Research & Development,6,Bachelor,Life Sciences,Very High,Male,55,Medium,Basic,Research Scientist,High,Married,2539,7950,1,No,13,High,High,Low,4,0,Excellent,4,2,2,2
37,Karyawan Beratahan,Travel_Frequently,319,Sales,4,Master,Marketing,Low,Male,41,High,Basic,Sales Representative,Very High,Divorced,2793,2539,4,No,17,High,High,Low,13,2,Excellent,9,8,5,8
31,Karyawan Beratahan,Travel_Rarely,1062,Research & Development,24,Bachelor,Medical,High,Female,96,Medium,Advanced,Healthcare Representative,Low,Single,6812,17198,1,No,19,High,Medium,Very High,10,2,Excellent,10,9,1,8
48,Karyawan Beratahan,Travel_Rarely,715,Research & Development,1,Bachelor,Life Sciences,Very High,Male,76,Medium,Advanced,Research Director,Very High,Single,18265,8733,6,No,12,High,High,Very High,25,3,Outstanding,1,0,0,0
36,Karyawan Beratahan,Travel_Rarely,676,Research & Development,1,Bachelor,Other,High,Female,35,High,Advanced,Manufacturing Director,Medium,Married,5228,23361,0,No,15,High,Low,Low,10,2,Excellent,9,7,0,5
37,Karyawan Beratahan,Travel_Rarely,977,Research & Development,1,Bachelor,Life Sciences,Very High,Female,56,Medium,Advanced,Manufacturing Director,Very High,Married,6474,9961,1,No,13,High,Medium,Low,14,2,Good,14,8,3,11
38,Karyawan Beratahan,Travel_Rarely,702,Sales,1,Master,Life Sciences,Low,Female,59,Medium,Advanced,Sales Executive,Very High,Single,8686,12930,4,No,22,Very High,High,Very High,12,2,Outstanding,8,3,0,7
32,Karyawan Beratahan,Travel_Rarely,117,Sales,13,Master,Life Sciences,Medium,Male,73,High,Advanced,Sales Executive,Very High,Divorced,4403,9250,2,No,11,High,High,Low,8,3,Good,5,2,0,3
28,Karyawan Beratahan,Travel_Rarely,857,Research & Development,10,Bachelor,Other,High,Female,59,High,Advanced,Research Scientist,High,Single,3660,7909,3,No,13,High,Very High,Very High,10,4,Outstanding,8,7,1,7
43,Karyawan Beratahan,Travel_Frequently,957,Research & Development,28,Bachelor,Medical,Medium,Female,72,Very High,Basic,Research Scientist,High,Single,4739,16090,4,No,12,High,Very High,Very High,18,2,Excellent,3,2,1,2
30,Karyawan Beratahan,Travel_Rarely,1465,Research & Development,1,Bachelor,Medical,Very High,Male,63,High,Basic,Research Scientist,Medium,Married,3579,9369,0,Yes,21,Very High,Low,Low,12,2,Excellent,11,9,5,7
33,Karyawan Beratahan,Non-Travel,722,Sales,17,Bachelor,Life Sciences,Very High,Male,38,High,Advanced,Manager,High,Single,17444,20489,1,No,11,High,Very High,Very High,10,2,Excellent,10,8,6,0
43,Karyawan Beratahan,Travel_Rarely,177,Research & Development,8,Bachelor,Life Sciences,Low,Female,55,High,Advanced,Manufacturing Director,Medium,Divorced,4765,23814,4,No,21,Very High,High,Low,4,2,Outstanding,1,0,0,0
42,Karyawan Beratahan,Travel_Frequently,458,Research & Development,26,Doctor,Medical,Low,Female,60,High,Intermediate ,Research Director,Low,Married,13191,23281,3,Yes,17,High,High,Very High,20,6,Excellent,1,0,0,0
37,Karyawan Beratahan,Travel_Rarely,921,Research & Development,10,Bachelor,Medical,High,Female,98,High,Basic,Laboratory Technician,Low,Married,3452,17663,6,No,20,Very High,Medium,Low,17,3,Excellent,5,4,0,3
24,Karyawan Beratahan,Travel_Frequently,535,Sales,24,Bachelor,Medical,Very High,Male,38,High,Basic,Sales Representative,Very High,Married,2400,5530,0,No,13,High,High,Medium,3,3,Excellent,2,2,2,1
37,Karyawan Beratahan,Non-Travel,1063,Research & Development,25,Doctor,Medical,Medium,Female,72,High,Advanced,Research Scientist,High,Married,4449,23866,3,Yes,15,High,Low,Medium,15,2,Excellent,13,11,10,7
37,Karyawan Beratahan,Travel_Rarely,558,Sales,2,Bachelor,Marketing,Very High,Male,75,High,Advanced,Sales Executive,High,Married,9602,3010,4,Yes,11,High,High,Low,17,3,Good,3,0,1,0
40,Karyawan Beratahan,Travel_Frequently,1395,Research & Development,26,Bachelor,Medical,Medium,Female,54,High,Advanced,Research Scientist,Medium,Divorced,5605,8504,1,No,11,High,Low,Low,20,2,Excellent,20,7,2,13
55,Karyawan Keluar,Travel_Rarely,436,Sales,2,Below College,Medical,High,Male,37,High,Advanced,Sales Executive,Very High,Single,5160,21519,4,No,16,High,High,Very High,12,3,Good,9,7,7,3
34,Karyawan Beratahan,Travel_Rarely,507,Sales,15,College,Medical,High,Female,66,High,Advanced,Sales Executive,Low,Single,6125,23553,1,No,12,High,Very High,Very High,10,6,Outstanding,10,8,9,6
18,Karyawan Beratahan,Travel_Rarely,812,Sales,10,Bachelor,Medical,Very High,Female,69,Medium,Basic,Sales Representative,High,Single,1200,9724,1,No,12,High,Low,Very High,0,2,Excellent,0,0,0,0
41,Karyawan Beratahan,Travel_Rarely,334,Sales,2,Master,Life Sciences,Very High,Male,88,High,Advanced,Manager,Medium,Single,16015,15896,1,No,19,High,Medium,Very High,22,2,Excellent,22,10,0,4
44,Karyawan Beratahan,Travel_Frequently,383,Sales,1,Doctor,Marketing,Low,Female,79,High,Advanced,Sales Executive,High,Married,4768,9282,7,No,12,High,High,Low,11,4,Good,1,0,0,0
42,Karyawan Beratahan,Travel_Rarely,691,Sales,8,Master,Marketing,High,Male,48,High,Advanced,Sales Executive,Medium,Married,6825,21173,0,No,11,High,Very High,Low,10,2,Excellent,9,7,4,2
51,Karyawan Beratahan,Travel_Rarely,313,Research & Development,3,Bachelor,Medical,Very High,Female,98,High,Advanced,Healthcare Representative,Medium,Single,13734,7192,3,No,18,High,High,Very High,21,6,Excellent,7,7,1,0
32,Karyawan Keluar,Travel_Rarely,515,Research & Development,1,Bachelor,Life Sciences,Very High,Male,62,Medium,Basic,Laboratory Technician,High,Single,3730,9571,0,Yes,14,High,Very High,Very High,4,2,Low,3,2,1,2
31,Karyawan Beratahan,Travel_Rarely,688,Sales,7,Bachelor,Life Sciences,High,Male,44,Medium,Intermediate ,Manager,Very High,Divorced,11557,25291,9,No,21,Very High,High,Low,10,3,Good,5,4,0,1
31,Karyawan Beratahan,Travel_Frequently,853,Research & Development,1,Below College,Life Sciences,High,Female,96,High,Advanced,Manufacturing Director,Low,Married,4148,11275,1,No,12,High,High,Low,4,1,Excellent,4,3,0,3
30,Karyawan Keluar,Travel_Frequently,109,Research & Development,5,Bachelor,Medical,Medium,Female,60,High,Basic,Laboratory Technician,Medium,Single,2422,25725,0,No,17,High,Low,Very High,4,3,Excellent,3,2,1,2
